NPA,2011,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023
2,"25.7%","22.7%","16.7%","17.7%","14%","12.1%","12.1%","16.1%","18.3%","23.1%","23.4%"
3,"5.7%","3.9%","4.2%","4.6%","2.9%","2.3%","1.8%","2.2%","2.6%","3.6%","2.9%"
4,"0.6%","0.7%","0.4%","0.4%","0.4%","0.4%","0.1%","0.1%","0%","0.1%","0.3%"
5,"61%","54.3%","55.8%","54.6%","56.3%","53%","43.4%","49.7%","55.3%","63%","49.7%"
6,"54%","45.7%","54.3%","52.8%","42.7%","39.4%","32.4%","40.1%","44.1%","47.6%","39.3%"
7,"0.1%","0.2%","0.2%","0.2%","0%","0%","0.1%","0.2%","0.2%","0.8%","1.5%"
8,"8.1%","3.9%","7.2%","8.1%","6.4%","1.4%","5.2%","5.8%","5.8%","8.5%","7.1%"
9,"16.4%","14.1%","9.2%","9.2%","9.5%","11.1%","7%","6.8%","7.8%","8.9%","10.1%"
10,"36%","36.5%","32%","32.8%","27.4%","26.2%","19.8%","23.1%","26.2%","27.3%","23.1%"
11,"1.6%","0.8%","1.2%","1.2%","0.8%","0.6%","0.4%","0.5%","1%","1%","1.1%"
12,"35.5%","34.4%","34.3%","35.6%","29.8%","25.7%","22.6%","28.2%","33.8%","40.3%","35.8%"
13,"16.5%","15%","15.4%","15.8%","13.3%","12.8%","10.3%","13.5%","17.2%","19.6%","16.7%"
14,"11%","12.3%","13.5%","14.3%","12.6%","10.8%","8.8%","13.9%","17.5%","22.5%","20.3%"
15,"4.7%","4.2%","4.3%","4.6%","3.4%","3.2%","2.5%","3.2%","3.3%","4.4%","3.2%"
16,"25.6%","26.1%","31.4%","33.1%","27.9%","25.1%","17.7%","23.1%","26.4%","32.8%","28.5%"
17,"32.3%","29.9%","34%","35.8%","27.6%","22.1%","22.7%","28%","31.2%","38.1%","35.9%"
18,"5.5%","5.1%","4.4%","4.6%","2.5%","3.2%","2.9%","3.9%","4.8%","7.3%","7.5%"
19,"3.2%","2.9%","2.8%","3.1%","2.8%","2.5%","2.2%","2.8%","3.2%","5%","4.3%"
20,"3.6%","2.2%","2.5%","2.6%","2.3%","1.7%","1.9%","3.2%","3.9%","5.9%","5.3%"
21,"37.1%","36%","35.7%","36.5%","30.3%","27.9%","22.5%","28.4%","31.1%","36.3%","34.7%"
22,"24.3%","18.1%","17.1%","17.3%","8.2%","7.1%","2.9%","4.3%","6.3%","7.7%","6%"
23,"46.4%","49.1%","53.9%","56.3%","48.2%","43.6%","37.2%","41.8%","47.2%","52%","48.1%"
24,"18.2%","14.8%","10.7%","10.8%","4.6%","5.3%","4.8%","5.1%","6.2%","5.2%","3%"
25,"2.9%","2.6%","2.2%","2.3%","1.6%","1.6%","0.8%","1.4%","2%","2.3%","2.1%"
26,"7.6%","7.4%","7.3%","7.4%","5.7%","5.2%","6.3%","7.8%","10.1%","12.4%","11.1%"
27,"17.8%","17.7%","18.1%","18.7%","14.7%","14.2%","12%","15.2%","18%","24.4%","24.1%"
28,"1.4%","1.4%","1.3%","1.4%","2.1%","1.2%","1.3%","1.5%","1.6%","2.7%","2.6%"
29,"2%","2.3%","2.3%","2.5%","2%","1.4%","1.9%","2.2%","3%","4%","4.3%"
30,"78.2%","76.4%","50.5%","47.4%","36.3%","33.7%","37.4%","43.6%","46.1%","46.8%","47.1%"
31,"1.4%","0.9%","0.8%","0.9%","1%","0.6%","0.4%","0.7%","1%","1.2%","0.9%"
32,"7.3%","8.6%","6.5%","7.4%","5%","5.9%","4.7%","4.7%","4.7%","7.7%","6.1%"
33,"12.5%","9.8%","11%","11.4%","9.6%","7.8%","7.8%","10.3%","12.2%","16.9%","16.8%"
34,"28.7%","25.8%","31.1%","32.3%","30%","25.3%","19.4%","22.9%","26%","34.7%","34.3%"
35,"21.2%","18.5%","17.9%","16.6%","12.5%","11.4%","8.2%","10.9%","11.8%","15.3%","12.7%"
36,"8.6%","7.4%","6.8%","6.9%","5.5%","4.5%","3.9%","5.7%","7.4%","9.4%","7.9%"
37,"46.5%","43.8%","40.1%","42.1%","33%","27.1%","22.2%","26.3%","29%","32.5%","30%"
38,"4.7%","5.4%","4.8%","4.8%","3.4%","4.1%","6.1%","9.7%","10.9%","13.8%","16.3%"
39,"19.7%","18%","19.5%","19.7%","16.6%","16%","13.2%","17.3%","19.7%","27%","24.1%"
40,"32.8%","29.3%","30.2%","31.3%","29.3%","25.4%","19.9%","25.1%","28.5%","34.7%","32%"
41,"9%","8.9%","11.2%","11.3%","7.8%","7.5%","5.4%","8.3%","8.8%","12.1%","12.6%"
42,"5.7%","5.1%","4.8%","4.8%","3.6%","3.5%","2.6%","3.9%","5%","7.7%","6.5%"
43,"5.9%","6.9%","5.7%","5.8%","5.2%","5%","3.8%","5.8%","7.6%","10.6%","9%"
44,"2.4%","2.6%","2.6%","2.5%","1.7%","1.7%","2%","3.4%","3.9%","5.4%","4.4%"
45,"5.2%","3.3%","3.9%","3.9%","3.7%","3.1%","3.1%","4.7%","6%","9%","8.5%"
46,"15.1%","13%","14.6%","14.7%","14.3%","14.6%","13.8%","20.1%","26.2%","32.7%","30.2%"
47,"2.1%","2%","2.4%","2.5%","2.6%","2.2%","3.7%","3%","3.8%","4.2%","4.5%"
48,"19.3%","19%","20.1%","20.6%","17.7%","17%","12%","16.8%","19.8%","22.5%","24.1%"
49,"19.9%","18.2%","17.2%","17.8%","17.6%","16.6%","14.2%","17.8%","21.5%","27.5%","23.1%"
50,"41.3%","43.7%","47.3%","51%","40.5%","38.2%","28.8%","33.1%","37.2%","41.2%","37.9%"
51,"12%","9.8%","9.5%","9.6%","5.9%","3.6%","2.5%","3.7%","5.5%","7.2%","6.8%"
52,"51.8%","42.2%","41.5%","43.3%","34.8%","24.7%","24.4%","27.3%","31.6%","38%","32.9%"
53,"36.2%","32.7%","35.7%","37.8%","33.4%","30.2%","21.7%","26.6%","32.1%","44.7%","45%"
54,"32.7%","27.3%","31.9%","32.8%","27.4%","26.4%","19.2%","24%","28.1%","33.1%","31.7%"
55,"6.1%","5.9%","7%","7.1%","4.2%","3.4%","3.3%","5.5%","5.6%","6.8%","7.3%"
56,"11.2%","7.3%","6.1%","7%","6.1%","4.4%","3.9%","6.7%","6.1%","11%","8.2%"
