NPA,2023
2,"78.7%"
3,"92.3%"
4,"92.9%"
5,"50.3%"
6,"52.2%"
7,"93.2%"
8,"78%"
9,"88.8%"
10,"75.1%"
11,"92.3%"
12,"61.6%"
13,"79.7%"
14,"80.6%"
15,"99.3%"
16,"72.1%"
17,"66.7%"
18,"83.3%"
19,"90.9%"
20,"85.6%"
21,"72.9%"
22,"85%"
23,"68.4%"
24,"85.5%"
25,"92.9%"
26,"73.1%"
27,"91.6%"
28,"88.8%"
29,"84.5%"
30,"75.1%"
31,"96.2%"
32,"100%"
33,"81%"
34,"76.7%"
35,"86.2%"
36,"82.5%"
37,"85.4%"
38,"92.8%"
39,"80.3%"
40,"59.2%"
41,"82.6%"
42,"89%"
43,"85.1%"
44,"76%"
45,"97.4%"
46,"71.3%"
47,"85.6%"
48,"84.4%"
49,"84.8%"
50,"62.1%"
51,"95.2%"
52,"52.2%"
53,"78%"
54,"76.3%"
55,"82.7%"
56,"86%"
57,"81.3%"
58,"73.3%"
59,"84.5%"
60,"79.6%"
61,"77.8%"
62,"--"
64,"75.1%"
65,"100%"
66,"70.5%"
67,"91%"
68,"77.2%"
69,"88.5%"
70,"57.5%"
71,"70.2%"
72,"97.9%"
73,"73.9%"
74,"84.8%"
75,"87.9%"
76,"96.9%"
77,"80.4%"
78,"90.8%"
79,"44.1%"
80,"95.8%"
81,"90.5%"
82,"82.1%"
83,"79.9%"
84,"75.2%"
85,"73.6%"
86,"74.1%"
87,"86.1%"
88,"51.9%"
89,"72.5%"
90,"69.9%"
91,"80.6%"
92,"78.6%"
93,"79.1%"
94,"76.1%"
95,"92.4%"
96,"84.2%"
97,"89%"
98,"82.8%"
99,"85.9%"
100,"65.9%"
101,"57.3%"
102,"82.7%"
103,"80%"
105,"87.5%"
106,"61%"
107,"90.2%"
108,"91%"
109,"95.4%"
110,"80.5%"
111,"94.4%"
112,"86.9%"
113,"88.8%"
114,"61.9%"
115,"96.7%"
116,"82%"
117,"86.8%"
118,"98%"
119,"78.3%"
120,"59.3%"
121,"86.4%"
122,"--"
123,"74%"
124,"58.8%"
125,"90.6%"
126,"82.1%"
127,"54.5%"
128,"58.6%"
129,"96.2%"
130,"88.6%"
131,"96.5%"
132,"84.8%"
133,"96.3%"
134,"80.6%"
135,"82.1%"
136,"94.3%"
137,"73.5%"
138,"57.8%"
139,"81.9%"
140,"76.2%"
141,"63.7%"
142,"77.1%"
143,"98.5%"
144,"76.5%"
145,"79.8%"
146,"86.3%"
147,"85.2%"
148,"95.2%"
149,"93%"
150,"78.4%"
151,"90.8%"
152,"41.5%"
153,"93.3%"
154,"89.4%"
155,"83.7%"
156,"88.3%"
157,"92.4%"
158,"85.3%"
159,"80.5%"
160,"64.1%"
161,"69.4%"
162,"64.6%"
163,"85.4%"
164,"54%"
165,"54.5%"
166,"98.2%"
167,"85.2%"
168,"66.2%"
169,"97.2%"
170,"96.2%"
171,"88.4%"
172,"85.3%"
173,"80.1%"
174,"71.2%"
175,"94.5%"
176,"87%"
177,"88.8%"
178,"84.5%"
179,"89.4%"
180,"79.4%"
181,"86.3%"
182,"75%"
183,"100%"
184,"92.6%"
185,"71.2%"
186,"86.9%"
187,"94.2%"
188,"91.4%"
