NPA,2011,2013,2015,2016,2018,2020,2021,2022,2023,2011 Raw,2013 Raw,2015 Raw,2016 Raw,2018 Raw,2020 Raw,2021 Raw,2022 Raw,2023 Raw
2,"1","1","1","1","0","1","1","0","1","7","13","10","12","1","10","8","5","7"
3,"1","0","0","0","0","0","0","0","0","55","20","8","16","16","4","2","1","6"
4,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0"
5,"8","9","20","13","3","2","1","3","3","26","31","66","41","11","6","3","9","12"
6,"4","7","7","7","2","2","2","1","2","35","54","54","54","17","16","14","10","16"
7,"0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1"
8,"0","0","0","0","0","0","0","0","0","1","1","2","0","1","0","0","1","2"
9,"1","1","1","1","0","0","1","0","1","4","3","2","2","0","0","2","0","2"
10,"3","5","4","3","2","1","1","1","2","54","83","58","47","29","19","13","19","27"
11,"0","0","0","0","0","0","0","0","0","1","1","2","1","2","1","1","0","0"
12,"1","1","2","1","1","2","2","2","4","14","15","22","16","10","27","19","30","69"
13,"0","1","1","0","0","0","0","1","2","7","13","10","8","7","2","5","24","25"
14,"0","0","0","0","0","0","0","0","0","3","7","6","6","3","6","5","4","6"
15,"0","1","0","0","0","0","0","0","0","1","6","3","2","2","0","2","2","2"
16,"1","1","1","1","0","1","1","0","1","13","21","23","15","8","17","11","4","14"
17,"1","1","2","2","0","0","0","1","1","14","18","20","27","2","5","5","10","11"
18,"0","1","1","1","0","0","0","0","0","5","18","11","14","4","3","3","0","0"
19,"0","0","0","0","0","0","0","0","0","1","1","5","5","1","2","2","1","1"
20,"0","0","0","0","0","0","0","0","0","0","0","1","1","1","2","2","0","1"
21,"1","1","2","1","0","0","0","0","0","6","11","24","11","2","1","7","2","4"
22,"2","2","1","2","2","0","0","0","0","8","7","5","8","15","3","0","0","1"
23,"1","2","1","2","1","1","1","1","1","3","9","7","10","5","4","7","3","4"
24,"0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","4"
25,"0","0","0","0","0","0","0","0","0","2","0","2","1","1","1","0","0","0"
26,"0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","2","3"
27,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","1","1","2"
28,"0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","1","1"
29,"0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0"
30,"1","4","2","1","1","0","0","0","0","4","19","13","12","8","1","2","1","2"
31,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
32,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
33,"0","0","0","0","0","0","0","0","1","3","2","0","0","1","0","1","2","4"
34,"1","2","3","5","1","0","0","0","2","9","17","25","42","7","6","6","1","28"
35,"0","1","1","0","0","0","0","0","0","3","7","5","4","4","1","0","1","2"
36,"0","0","0","0","0","0","0","0","0","2","2","5","3","1","3","0","2","2"
37,"5","7","8","4","1","2","2","1","1","39","53","63","34","7","15","24","8","11"
38,"0","0","1","0","0","0","0","0","0","0","3","5","4","2","0","2","3","3"
39,"0","1","1","0","0","0","0","1","1","4","9","7","2","0","1","1","6","6"
40,"1","3","2","2","1","0","1","1","1","12","31","26","25","11","5","10","8","12"
41,"0","1","0","0","0","0","1","0","1","2","7","2","3","2","3","5","3","6"
42,"0","0","0","0","0","0","0","0","0","1","0","1","1","3","0","1","0","1"
43,"0","0","0","1","0","0","0","0","0","0","0","2","4","0","0","0","2","3"
44,"0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0"
45,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0"
46,"0","0","0","0","0","0","0","0","0","4","3","1","2","1","0","1","2","3"
47,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
48,"0","0","0","0","0","0","0","0","0","2","2","2","2","1","0","0","0","0"
49,"0","0","0","0","0","0","0","0","0","1","4","1","1","2","3","1","0","1"
50,"1","2","9","9","2","1","1","1","1","11","19","99","94","24","5","12","12","14"
51,"1","2","1","1","0","0","0","0","0","10","15","7","5","2","3","2","0","0"
52,"1","2","4","2","1","0","2","1","1","11","19","23","10","8","3","16","8","9"
53,"2","2","2","1","2","1","2","1","1","26","26","20","18","16","7","16","13","18"
54,"1","2","2","4","2","0","1","1","1","8","9","11","21","10","1","4","3","4"
55,"0","0","0","0","0","0","0","0","0","2","2","3","3","0","0","0","2","2"
56,"0","0","0","1","0","0","0","0","0","0","1","1","2","1","0","0","0","0"
57,"1","1","1","0","0","1","0","0","0","5","4","7","1","1","4","3","0","0"
58,"3","3","3","3","3","1","1","0","2","13","13","13","15","15","6","6","2","10"
59,"1","2","0","1","1","4","3","2","3","10","21","5","15","15","40","31","31","36"
60,"1","0","3","0","0","0","0","0","0","7","4","32","6","3","4","3","5","6"
61,"0","0","0","1","0","0","0","0","1","2","0","2","3","1","2","2","1","4"
62,"0","0","0","0","0","--","--","--","--","0","0","0","0","0","0","0","0","0"
64,"0","1","1","0","0","0","0","0","1","7","15","13","10","4","8","8","7","15"
65,"0","0","1","0","0","0","0","0","0","1","0","8","0","2","0","0","4","4"
66,"0","0","0","1","0","0","0","0","1","0","1","5","9","3","6","3","4","10"
67,"0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","1","2"
68,"0","0","0","0","0","0","0","1","1","4","4","1","2","0","1","3","7","8"
69,"0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","6","9"
70,"2","2","2","4","2","1","1","1","1","13","12","13","22","8","4","5","5","5"
71,"1","3","2","2","1","1","1","1","1","12","37","26","33","12","9","9","14","19"
72,"0","0","0","0","1","0","0","0","0","0","1","0","2","11","0","2","2","3"
73,"0","0","0","1","0","0","0","0","0","2","2","4","7","4","0","2","2","2"
