NPA,2011,2013,2015,2016,2020,2022,2023,2011 Raw,2013 Raw,2015 Raw,2016 Raw,2020 Raw,2022 Raw,2023 Raw
2,"13","6","14","5","6","8","10","140","63","149","58","67","91","114"
3,"15","4","6","1","1","2","2","673","190","269","64","97","191","214"
4,"3","2","0","2","3","3","2","13","9","2","7","13","14","9"
5,"27","18","30","28","24","15","9","90","58","100","91","90","53","32"
6,"54","33","40","27","31","34","36","447","268","326","217","242","276","299"
7,"0","2","4","5","6","0","2","2","10","16","22","23","2","15"
8,"8","4","13","4","3","11","14","74","45","129","41","32","132","165"
9,"30","20","15","15","10","22","17","92","60","44","46","32","69","58"
10,"40","30","41","24","10","37","34","640","476","650","376","171","647","587"
11,"5","3","4","2","2","10","4","65","31","51","19","24","124","49"
12,"2","1","5","1","0","3","3","24","16","60","11","6","37","42"
13,"20","4","7","5","10","5","11","358","66","135","94","151","95","162"
14,"4","4","13","11","4","8","6","65","67","205","180","68","124","105"
15,"7","5","27","11","9","11","8","58","38","221","92","79","93","69"
16,"25","23","14","7","12","7","18","525","493","291","153","244","154","382"
17,"45","13","18","22","10","25","25","560","160","227","281","131","313","312"
18,"3","2","3","4","6","3","4","46","38","59","65","97","63","76"
19,"3","2","4","2","4","7","4","55","42","68","33","65","132","64"
20,"4","1","1","1","1","2","2","51","15","17","17","14","24","23"
21,"30","10","15","12","10","14","28","349","127","184","150","127","273","721"
22,"30","25","21","14","3","3","5","141","91","106","73","64","115","204"
23,"14","7","12","11","4","12","14","75","40","68","60","24","66","75"
24,"29","3","10","17","20","16","12","138","15","44","77","83","53","61"
25,"24","2","16","6","5","7","10","268","18","178","64","61","88","123"
26,"0","0","0","0","0","0","0","3","3","5","1","0","2","0"
27,"14","5","7","6","4","9","10","142","51","65","62","43","96","98"
28,"1","2","3","5","2","4","4","8","11","18","25","13","21","22"
29,"5","1","13","3","5","4","5","28","5","74","18","26","22","26"
30,"9","6","11","7","3","7","8","45","29","91","65","39","110","139"
31,"1","1","1","0","1","3","7","8","6","9","2","10","21","48"
32,"5","1","4","3","3","2","3","11","2","8","6","7","4","9"
33,"3","0","2","0","1","9","6","20","1","14","3","9","58","40"
34,"22","12","15","16","13","7","12","177","99","121","135","165","107","196"
35,"1","0","6","0","0","0","3","9","2","47","0","0","6","42"
36,"8","6","8","6","8","8","9","85","60","101","80","112","107","120"
