NPA,2011,2013,2015,2017,2020,2022,2023,2011 Raw,2013 Raw,2015 Raw,2017 Raw,2020 Raw,2022 Raw,2023 Raw
2,"100%","61.4%","61.4%","61.4%","60.5%","57.7%","37.8%","1,082","664","662","663","652","651","429"
3,"79.7%","69.7%","69.8%","77.8%","88.6%","88.2%","89.4%","3,559","3,306","3,317","4,109","7,091","7,502","8,679"
4,"43.6%","38.8%","41.3%","40%","39.9%","42.2%","41.6%","175","156","167","163","162","172","170"
5,"100%","100%","100%","99.1%","99.4%","99.4%","99.4%","332","329","331","319","341","346","346"
6,"100%","100%","100%","100%","97.4%","100%","100%","825","820","817","814","773","811","823"
7,"26.9%","0%","0%","0%","0%","0%","0%","113","0","0","0","0","0","0"
8,"47.8%","20.3%","20.2%","20.9%","19%","21%","15.1%","431","208","208","215","217","243","176"
9,"100%","100%","100%","100%","100%","100%","100%","305","305","302","294","322","320","349"
10,"100%","100%","100%","100%","100%","100%","100%","1,599","1,595","1,592","1,586","1,705","1,736","1,733"
11,"88.6%","82%","82.1%","82.1%","82.8%","82.6%","82.5%","1,071","994","1,006","1,011","1,014","1,022","1,033"
12,"100%","100%","100%","100%","100%","100%","100%","1,257","1,257","1,257","1,257","1,257","1,257","1,609"
13,"91.9%","83.9%","84%","84.1%","80.7%","84.4%","80.3%","1,665","1,518","1,535","1,539","1,195","1,545","1,187"
14,"81.5%","81.5%","100%","99.9%","85.6%","99.9%","83.6%","1,314","1,315","1,614","1,609","1,382","1,613","1,356"
15,"77%","57.5%","54.9%","55.5%","57.4%","57.7%","58.1%","635","474","457","471","488","491","501"
16,"100%","100%","98.3%","100%","100%","100%","99.2%","2,119","2,112","2,076","2,113","2,113","2,113","2,097"
17,"100%","100%","100%","100%","100%","100%","100%","1,256","1,256","1,256","1,253","1,253","1,253","1,253"
18,"38.9%","9.9%","10.1%","24.5%","23.7%","23.8%","23.8%","621","168","172","409","402","432","451"
19,"38.9%","38.9%","32.6%","32.6%","33.4%","33.3%","32.2%","683","684","574","574","598","598","579"
