NPA,2011,2013,2015,2017,2020,2022,2023,2011 Raw,2013 Raw,2015 Raw,2017 Raw,2020 Raw,2022 Raw,2023 Raw
2,"99.9%","99.9%","99.9%","99.9%","99.3%","99.3%","79.4%","1,081","1,080","1,078","1,078","1,069","1,121","902"
3,"74.8%","76.3%","69.8%","72.8%","81.5%","77.6%","79.7%","3,343","3,622","3,316","3,848","6,525","6,605","7,730"
4,"40.4%","40.3%","42.8%","41.4%","41.4%","39.7%","39.9%","162","162","173","169","168","162","163"
5,"100%","100%","100%","99.1%","99.4%","99.4%","99.4%","332","329","331","319","341","346","346"
6,"100%","100%","100%","100%","97.4%","97.3%","97.3%","825","820","817","814","773","789","801"
7,"84.5%","84.4%","84.5%","85.2%","85.1%","46.6%","41.7%","355","357","360","367","355","354","352"
8,"22.1%","20.1%","20.2%","20.2%","18.3%","19%","12.8%","199","206","208","208","209","220","149"
9,"100%","100%","100%","100%","100%","100%","100%","305","305","302","294","322","320","349"
10,"100%","100%","100%","100%","100%","100%","100%","1,599","1,595","1,592","1,586","1,705","1,736","1,733"
11,"82.1%","82.3%","82.4%","82.4%","83.1%","83.2%","83.1%","993","998","1,009","1,014","1,017","1,029","1,040"
12,"100%","100%","100%","100%","100%","100%","100%","1,257","1,257","1,257","1,257","1,257","1,257","1,609"
13,"100%","100%","100%","100%","100%","75%","68.6%","1,812","1,810","1,827","1,831","1,480","1,372","1,014"
14,"68.4%","68.5%","98.8%","99.8%","78.3%","99.9%","76.4%","1,103","1,105","1,595","1,607","1,265","1,613","1,239"
15,"0.4%","0.5%","55.3%","56%","56.1%","0.4%","--","3","4","461","475","477","3","0"
16,"99.7%","99.7%","94.1%","99.7%","100%","99.6%","99.6%","2,112","2,105","1,988","2,106","2,113","2,105","2,105"
17,"100%","100%","100%","100%","100%","100%","100%","1,256","1,256","1,256","1,253","1,253","1,253","1,253"
18,"23.6%","22.6%","32.7%","23.2%","59.9%","45.9%","29.2%","377","383","554","386","1,017","833","553"
19,"57.3%","57.2%","56.8%","56.8%","57.2%","57.3%","32.2%","1,005","1,006","1,001","1,001","1,024","1,028","579"
20,"65.9%","65.8%","37.8%","34.6%","35.1%","34.2%","34%","957","956","549","502","510","502","502"
21,"99.9%","99.9%","98.9%","99.8%","99.9%","99.9%","51.3%","1,167","1,215","1,207","1,219","1,269","1,893","1,327"
22,"92.5%","90.4%","98.2%","91.8%","84.7%","73.4%","76%","432","329","490","639","1,844","2,786","3,197"
23,"75.6%","75.5%","68.7%","68.9%","68.7%","68.7%","49.8%","415","415","378","378","378","378","274"
24,"98.1%","98.1%","98.9%","80.7%","99.8%","94.4%","1.8%","465","464","443","360","402","321","9"
25,"26.8%","26.9%","26.9%","17.7%","17.8%","28.1%","16.6%","298","299","299","200","211","334","198"
26,"5.9%","5.8%","6%","5.7%","5%","5.7%","2.4%","63","62","64","61","54","62","26"
27,"100%","100%","63.8%","63.8%","58.5%","59.1%","59.1%","990","988","630","630","589","597","598"
28,"86.6%","86.5%","88.2%","88.2%","89.4%","89.5%","89.5%","472","474","485","488","523","526","528"
29,"59.9%","59.9%","59.8%","0%","59.9%","0%","--","339","339","338","0","339","0","0"
30,"99.8%","99.8%","99.9%","3.9%","2.8%","2.7%","2.4%","502","503","853","43","44","44","44"
31,"20.7%","20.8%","57.4%","58%","57.7%","20.6%","20.6%","140","141","388","395","395","141","141"
32,"100%","100%","100%","65.5%","100%","65%","75.8%","220","220","220","144","220","143","241"
33,"0.5%","0.5%","6.1%","100%","99.8%","99.8%","99.8%","3","3","38","628","625","624","623"
34,"60.2%","61.3%","64.6%","60.4%","40.2%","71.9%","22.9%","475","496","525","504","585","1,076","379"
35,"0.1%","0.1%","0%","0%","0%","0%","--","1","1","0","0","0","0","0"
36,"74.6%","73.2%","47.6%","50.9%","50.7%","50.7%","50.7%","768","769","586","675","675","675","675"
37,"100%","100%","100%","88%","39.7%","39.6%","41%","790","780","779","683","433","432","459"
38,"91.3%","91.3%","91.4%","93.3%","94.1%","78.1%","70.9%","768","769","769","785","778","853","908"
39,"80.2%","80.8%","78.5%","88.7%","84%","88.7%","17.4%","747","760","748","877","834","882","174"
40,"100%","99.9%","100%","100%","100%","100%","100%","1,183","1,182","1,183","1,193","1,237","1,246","1,253"
41,"41.2%","41.4%","30%","6.3%","18.9%","24.9%","26.1%","319","320","232","49","146","193","205"
42,"82.6%","82.6%","82.6%","82.6%","82.7%","82.7%","82.7%","1,096","1,097","1,097","1,097","1,098","1,098","1,098"
43,"73.6%","74.5%","74.6%","74.6%","74.8%","74.6%","74.6%","466","485","488","488","489","488","491"
44,"74.9%","73.8%","74%","74.4%","74.8%","74.3%","74.2%","335","336","341","357","356","356","350"
45,"2.4%","6.4%","77.8%","79.6%","61.4%","61.3%","61.4%","24","71","885","1,022","1,585","1,592","1,598"
46,"100%","100%","100%","67.1%","67.1%","67.1%","64.6%","957","956","956","641","641","641","618"
47,"42.1%","42.3%","43.3%","89.5%","89.7%","89.7%","89.7%","270","271","277","529","540","541","541"
48,"82.3%","83.5%","83.6%","84.2%","84.1%","84%","84.2%","515","516","514","512","506","505","505"
49,"68.4%","68.3%","73.6%","57.9%","61.6%","69.2%","46.8%","648","651","708","564","601","710","481"
50,"100%","100%","100%","100%","100%","100%","100%","1,053","1,053","1,054","1,054","976","985","985"
51,"100%","100%","95.9%","88.6%","91.2%","92.2%","92.4%","737","737","702","674","1,104","1,270","1,297"
52,"64.7%","70.2%","51.9%","55.5%","67.2%","67.3%","68.6%","577","624","286","331","544","546","582"
53,"100%","100%","100%","100%","100%","100%","100%","1,057","1,060","1,222","1,060","1,060","1,394","1,395"
54,"95.6%","95.6%","84.4%","73%","79.3%","79.2%","39.8%","537","537","472","416","448","449","227"
55,"19.8%","19.8%","32.6%","19.8%","32.4%","31.6%","33.6%","159","159","262","159","261","261","308"
56,"0%","0%","0%","0%","0%","0%","--","0","0","0","0","0","0","0"
57,"100%","100%","84.6%","100%","100%","100%","100%","683","669","566","669","817","817","817"
58,"100%","100%","100%","100%","100%","100%","100%","485","485","485","485","483","483","483"
59,"95.9%","95.9%","100%","90.7%","94.5%","88.6%","88.6%","1,065","1,065","1,110","1,007","1,063","1,190","1,191"
60,"65.7%","67.6%","76.3%","84.1%","88.2%","89.6%","88%","656","763","860","1,416","1,498","1,732","1,461"
61,"100%","100%","100%","100%","100%","100%","99.3%","433","433","434","434","435","436","433"
62,"0%","0%","0%","0%","--","--","--","0","0","0","0","0","0","0"
64,"100%","100%","91.3%","78.6%","51.7%","51.7%","51.7%","1,971","1,974","1,887","2,014","1,306","1,305","1,305"
65,"82.6%","61.1%","54.1%","54%","54.3%","54.3%","60.7%","809","663","663","663","660","659","859"
66,"0%","0%","0%","0%","0%","0%","--","0","0","0","0","0","0","0"
67,"99.4%","99.7%","97.8%","99.7%","99.9%","99.9%","99.9%","321","629","629","629","830","853","853"
68,"88.7%","88.7%","96.5%","96.6%","96.7%","96.7%","96.7%","1,005","1,005","1,093","1,093","1,092","1,092","1,092"
69,"43.4%","43.4%","32.8%","26.3%","50.8%","50.8%","50.9%","327","328","208","189","549","549","550"
70,"99.4%","99.4%","99.4%","99.4%","99.4%","100%","100%","519","520","518","517","517","522","524"
71,"97.6%","98.2%","98.2%","97.1%","100%","100%","100%","1,374","1,391","1,399","1,383","1,406","1,406","1,403"
72,"0%","0%","0%","0%","0%","0%","--","0","0","0","0","0","0","0"
73,"53.8%","52.4%","53.1%","52.8%","47%","40.5%","5.4%","549","545","564","579","588","601","84"
74,"43.1%","43.1%","43.1%","41.1%","41.1%","41.1%","41.1%","319","319","319","304","304","304","304"
75,"12.8%","14.7%","73.8%","76.2%","85.1%","85.1%","84.8%","86","109","587","603","1,113","1,113","1,113"
76,"8.1%","7.3%","48.9%","31.1%","56.4%","25.5%","6.9%","64","71","540","365","698","403","111"
77,"84.9%","83.6%","84.2%","93.9%","93.4%","93%","90.5%","1,740","1,778","1,890","2,107","2,157","2,178","2,232"
78,"71.2%","66.5%","65.2%","93.4%","97.3%","97.3%","70.4%","596","596","595","858","1,063","1,063","770"
79,"100%","100%","100%","100%","100%","100%","100%","679","679","518","679","679","679","679"
80,"86.3%","86.5%","86.2%","86.5%","86.7%","77.9%","82.4%","1,002","1,016","1,003","1,015","1,016","1,059","1,400"
81,"99.6%","99.6%","100%","100%","100%","100%","100%","452","452","454","466","466","547","547"
82,"47.9%","48%","61.9%","53.1%","98.7%","98.7%","99%","432","433","558","617","1,146","1,145","1,416"
83,"30.7%","30.6%","10%","2.4%","3%","4%","4%","90","90","29","7","9","12","12"
84,"25.5%","25.7%","18.2%","13.5%","35.8%","71.5%","70.7%","70","70","48","31","119","480","469"
85,"100%","100%","100%","100%","100%","100%","100%","781","776","771","767","754","762","767"
86,"100%","100%","100%","100%","100%","100%","100%","1,050","993","1,116","1,116","2,276","2,276","2,349"
87,"99.3%","99.3%","99.3%","99.3%","99.3%","99.4%","99.4%","685","679","677","677","715","714","715"
88,"100%","100%","100%","100%","100%","100%","100%","481","474","469","475","481","540","601"
89,"100%","100%","98.7%","98.7%","70%","98.7%","98.7%","549","549","543","543","383","541","541"
90,"50.6%","50.7%","51.3%","51.3%","51.3%","51.3%","51.4%","418","420","425","425","424","424","427"
91,"100%","100%","100%","100%","6.2%","100%","97%","840","839","839","838","52","839","814"
92,"97.1%","97.5%","90.7%","90.8%","91.9%","83.7%","83.7%","883","1,032","1,206","1,220","1,407","1,629","1,629"
93,"100%","100%","100%","100%","100%","99.6%","75%","624","624","624","624","622","484","840"
94,"36.4%","36.4%","36.4%","36.2%","36.1%","55.9%","55.6%","138","138","138","137","136","306","307"
95,"94.6%","94.6%","94.6%","73.7%","89.7%","89.7%","89.7%","636","636","636","495","604","604","604"
96,"100%","100%","100%","100%","100%","100%","100%","1,180","1,522","1,804","1,925","2,172","2,172","2,493"
97,"23.9%","23.9%","23.8%","36.8%","45.9%","45.8%","34.5%","370","370","370","581","850","850","639"
98,"54%","54.1%","56.6%","53.8%","59.1%","57.3%","57%","495","500","535","534","760","808","870"
99,"83.1%","83.6%","83.4%","83.4%","51.3%","89.1%","27.6%","535","539","538","538","331","579","182"
100,"100%","100%","100%","97.3%","97.3%","100%","100%","701","701","701","678","679","699","706"
101,"100%","100%","100%","100%","65.3%","100%","100%","729","728","728","727","474","727","727"
102,"100%","100%","100%","100%","100%","100%","100%","524","523","524","525","531","536","538"
103,"100%","100%","100%","84%","92.4%","92.7%","91.4%","479","481","480","404","714","748","819"
105,"100%","100%","100%","100%","100%","100%","1%","434","525","633","868","1,000","998","10"
106,"98.8%","98.8%","98.8%","98.8%","98.5%","100%","100%","720","720","720","720","720","730","718"
107,"99.3%","99.3%","100%","100%","36%","98.9%","35.9%","1,064","1,064","1,071","675","234","644","234"
108,"97.8%","97.6%","94.7%","94.7%","94.7%","89.7%","95.8%","535","534","520","520","515","534","568"
109,"0%","0%","0%","0%","8.9%","0%","--","0","0","0","0","106","0","0"
110,"0%","0%","0%","0%","0%","0%","--","0","0","0","0","0","0","0"
111,"81.7%","77.6%","73.7%","73.4%","11.6%","12.1%","--","726","848","847","804","231","243","0"
112,"23%","22.7%","35.9%","19.4%","28.6%","35.9%","13.6%","121","122","198","123","183","250","101"
113,"68.6%","69.5%","66.4%","89.7%","58%","86.5%","35.7%","912","956","944","1,334","970","1,563","689"
114,"99.6%","99.5%","98.3%","52.6%","98.4%","98.5%","97.7%","544","424","417","232","437","456","459"
115,"61.9%","52.8%","50.8%","80.3%","52.3%","81.1%","52%","942","910","920","1,476","1,002","1,554","1,000"
116,"79.7%","74.7%","73%","68.2%","62.8%","60.6%","61.6%","893","894","902","902","1,170","1,454","1,893"
117,"99.9%","99.9%","100%","71.3%","75.9%","85.8%","85.5%","1,352","1,408","1,453","1,052","1,380","1,654","1,651"
118,"71.4%","71.4%","75.4%","67.3%","67.4%","67%","67%","297","297","321","298","298","297","297"
119,"45.8%","45.7%","51.6%","51.6%","15%","27.8%","14.3%","215","214","241","241","123","244","126"
120,"100%","100%","100%","100%","100%","100%","100%","596","594","598","584","586","595","629"
121,"99.9%","99.9%","100%","99.9%","99.9%","99.9%","99.9%","825","824","826","824","895","1,182","1,183"
122,"--","--","--","--","--","--","--","0","0","0","0","0","0","0"
123,"98.7%","98.9%","100%","99.4%","87.2%","99.8%","98.8%","1,075","1,077","1,088","1,082","948","1,085","1,073"
124,"100%","100%","100%","100%","100%","100%","100%","890","890","890","885","1,058","1,036","1,220"
125,"74.1%","74.7%","79.1%","87.3%","87.3%","99%","60.7%","763","782","845","1,039","1,126","1,455","944"
126,"100%","100%","100%","100%","25.3%","76.6%","--","41","189","251","343","154","510","0"
127,"92.4%","92.4%","99.7%","99.7%","93.3%","99.8%","93.4%","913","914","985","986","1,043","1,115","1,042"
128,"100%","100%","100%","100%","99.3%","100%","99.3%","1,044","1,044","1,043","1,019","1,010","1,021","999"
129,"30.3%","30.5%","31.4%","2.5%","2.5%","2.5%","2.5%","263","265","273","22","22","22","22"
130,"0%","0%","11.9%","10.3%","9.4%","7.1%","6.8%","0","0","91","79","96","80","79"
131,"100%","100%","99.9%","99.9%","41.6%","62.7%","41.6%","709","755","790","802","345","520","345"
