NPA,2011,2014,2015,2016,2017,2018,2019,2021,2022,2023,2011 Raw,2014 Raw,2015 Raw,2016 Raw,2017 Raw,2018 Raw,2019 Raw,2021 Raw,2022 Raw,2023 Raw
2,"20.6%","18.9%","19%","19%","32.7%","32.2%","32.2%","30.6%","60.4%","60.7%","223","204","205","205","353","349","347","345","682","689"
3,"56.8%","54%","65.6%","65.8%","63.4%","77.7%","86.2%","86.3%","87.1%","60.4%","2,540","2,565","3,118","3,113","3,349","4,611","6,899","6,908","7,409","5,863"
4,"21.2%","12.9%","12.9%","12.8%","12.7%","16%","18.2%","12.6%","17.9%","17.8%","85","52","52","52","52","67","74","52","73","73"
5,"34.9%","13.7%","13.6%","13.2%","9.6%","7.5%","7.9%","8.4%","8%","8%","116","45","45","43","31","24","27","29","28","28"
6,"81.3%","67.1%","67%","67.2%","66.8%","50.9%","47.4%","65.7%","47.5%","46.7%","671","550","547","548","544","411","376","531","385","384"
7,"42.9%","46.8%","46.7%","46.8%","46.9%","42.4%","45.8%","62.4%","62.5%","66.4%","180","198","199","200","202","183","191","475","475","560"
8,"12%","12.4%","13.1%","13%","13.1%","14%","16.3%","16.2%","16.1%","16%","108","127","135","135","135","151","187","185","186","187"
9,"98%","80.7%","80.5%","80.7%","84.7%","92.8%","79.2%","79.1%","79.1%","80.8%","299","246","243","246","249","282","255","254","253","282"
10,"68.5%","78.1%","78.2%","78.3%","78.5%","64.9%","64.5%","72.5%","67.7%","63.1%","1,096","1,245","1,245","1,246","1,245","1,036","1,099","1,243","1,175","1,094"
11,"57%","55.7%","55.1%","62.6%","62.7%","59.5%","61.6%","61.8%","61.9%","62.2%","689","675","675","767","772","745","754","758","766","779"
12,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
13,"0%","0%","0%","0%","14%","14.1%","17.6%","17.6%","14%","17.6%","0","0","0","0","257","258","261","260","256","260"
14,"60.1%","62.7%","62.6%","62.6%","62.8%","59.6%","62.7%","0%","0%","62.8%","969","1,012","1,011","1,010","1,011","960","1,012","0","0","1,018"
15,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
16,"3.4%","19.4%","19.4%","16.3%","16.3%","15.8%","16.8%","15.9%","15.8%","31.5%","73","409","409","344","344","333","356","337","333","665"
17,"0%","37.6%","37.6%","37.5%","75.5%","73%","75.6%","75.6%","75.3%","75.3%","0","472","472","470","946","913","947","947","944","944"
18,"0.5%","29.4%","29.3%","29.4%","26.4%","24.9%","26.4%","26.9%","28.5%","31%","8","497","497","498","439","419","449","471","517","587"
19,"29.1%","34.5%","34.4%","34.4%","34.4%","28.8%","34%","33.9%","33.9%","33.8%","510","607","607","607","607","509","608","607","608","608"
20,"74.1%","69.5%","69.5%","69.5%","69.5%","74.4%","27.1%","27.1%","27%","47.3%","1,077","1,009","1,009","1,009","1,009","1,081","394","394","396","698"
21,"41.4%","0%","0%","0%","36.4%","44.1%","0.2%","31.7%","1.2%","1.7%","483","0","0","0","445","533","2","498","23","44"
22,"18.2%","0%","0%","0%","0%","0%","0%","0%","0%","0%","85","0","0","0","0","0","0","0","0","0"
23,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
24,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
25,"20.7%","26.6%","26.6%","26.5%","26.3%","0%","30.2%","30.2%","30.2%","30.2%","230","296","296","296","296","0","359","359","359","359"
26,"13.7%","12.8%","12.7%","12.7%","13.1%","13%","12.5%","12.8%","12.4%","12.8%","146","136","136","136","140","140","136","140","136","140"
27,"66.6%","68.2%","68.2%","68.2%","68.2%","68.2%","67.3%","66.8%","52.6%","66.6%","659","674","674","674","674","673","677","677","532","674"
28,"50.1%","62.6%","62.4%","62.2%","62.2%","57%","64.3%","64.6%","64.6%","65.3%","273","343","343","342","344","319","376","380","380","385"
29,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
30,"0%","0%","17.1%","27.9%","54.3%","55.8%","44.5%","44.8%","45.2%","51.7%","0","0","146","275","595","613","708","715","725","956"
31,"0%","23.9%","23.7%","23.8%","24.1%","19.7%","25%","25%","24.9%","25%","0","162","160","161","164","136","171","171","170","171"
32,"100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","220","220","220","220","220","220","220","220","220","318"
33,"63.7%","94.2%","62.3%","62.3%","93.5%","62.1%","93.8%","0%","0%","93.9%","390","587","391","391","587","390","587","0","0","586"
34,"28.8%","31.3%","31.6%","31.7%","30.8%","26.8%","40.2%","39.9%","39.7%","37.6%","227","253","257","261","257","244","585","590","594","621"
35,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
36,"18.3%","21.2%","31.9%","31.9%","36.3%","33.3%","35.9%","58.4%","58.4%","58.5%","188","223","393","393","482","443","478","778","778","778"
37,"0%","12.8%","12.7%","12.8%","14.6%","0%","0%","0%","0%","0%","0","100","99","99","113","0","0","0","0","0"
38,"34.4%","32.2%","32.2%","32.2%","32.2%","39.5%","31.9%","34.9%","30.7%","30.5%","289","271","271","271","271","332","264","301","335","390"
39,"33.2%","11.8%","11.6%","11.6%","14.5%","10.9%","14.3%","14.3%","14.4%","14.3%","309","111","111","112","143","108","142","142","143","143"
40,"61.7%","64.4%","64.4%","64.4%","67.9%","65.8%","52.4%","68%","52.2%","3.6%","730","762","762","767","810","805","648","844","651","45"
41,"12.3%","49.4%","43.2%","43.7%","49.9%","25.6%","49.9%","49.9%","49.9%","50.6%","95","382","334","338","386","198","386","386","386","398"
42,"2%","3.5%","3.5%","3.5%","3.5%","2.1%","3.5%","3.5%","3.5%","0%","27","46","46","46","46","28","46","46","46","0"
43,"59.4%","61.9%","61.6%","61.5%","61.6%","59.6%","61.6%","61.3%","61.3%","0%","376","403","403","403","403","390","403","403","401","0"
44,"0%","0.4%","0.4%","0.4%","0.4%","0%","0.4%","0.4%","0.4%","0%","0","2","2","2","2","0","2","2","2","0"
45,"0%","0%","0%","0%","4.7%","2.7%","29.7%","29.8%","0%","29.7%","0","0","0","0","60","44","767","774","0","774"
