NPA,2011,2013,2015,2016,2017,2018,2020,2021,2022,2023,2011 Raw,2013 Raw,2015 Raw,2016 Raw,2017 Raw,2018 Raw,2020 Raw,2021 Raw,2022 Raw,2023 Raw
2,"20.1%","20.3%","19.1%","1.7%","0.8%","39.8%","34.9%","41.7%","36.1%","34%","218","219","206","18","9","431","376","469","408","339"
3,"95%","95.1%","91.1%","91.3%","91.8%","94.4%","93.5%","95.8%","97.2%","96.7%","4,245","4,513","4,330","4,320","4,848","5,598","7,484","7,676","8,274","5,527"
4,"15%","14.9%","14.4%","14.8%","0%","19.6%","35.5%","5.1%","2.7%","2.1%","60","60","58","60","0","82","144","21","11","8"
5,"9.3%","51.7%","52%","52.1%","49.4%","51.3%","41.4%","41.2%","46.3%","47%","31","170","172","170","159","163","142","142","161","158"
6,"86.5%","91.3%","85.8%","85.9%","83.4%","84.7%","62.2%","62.1%","83.7%","93.4%","714","749","701","701","679","684","494","502","679","699"
7,"36.9%","36.6%","36.6%","36.8%","36.9%","31.9%","31.9%","62.7%","64.9%","44.6%","155","155","156","157","159","138","133","477","493","219"
8,"24.1%","32.3%","32.1%","31.6%","0.5%","31%","0.8%","0.8%","28.2%","32.7%","217","331","331","327","5","335","9","9","327","335"
9,"99.7%","99.7%","99.7%","99.7%","100%","100%","100%","100%","100%","100%","304","304","301","304","294","304","322","321","320","268"
10,"79.6%","79.6%","79.7%","85.7%","85.6%","85.4%","84.2%","76.7%","86.2%","84.7%","1,273","1,270","1,269","1,365","1,358","1,364","1,436","1,315","1,497","1,238"
11,"58.7%","59.7%","46.3%","46.6%","30.7%","46.1%","46%","46.1%","47%","46%","710","723","567","571","378","578","563","565","582","535"
12,"0%","100%","100%","100%","100%","93%","100%","100%","100%","100%","0","1,257","1,257","1,257","1,257","1,169","1,257","1,257","1,257","1,253"
13,"23%","22.9%","23.6%","23.8%","23.8%","24%","22.8%","22.7%","23.7%","23.2%","416","415","432","435","436","440","337","336","433","422"
14,"62.7%","62.7%","62.6%","62.6%","62.8%","60.1%","55.2%","28.4%","62.4%","60.4%","1,012","1,012","1,011","1,010","1,011","968","892","459","1,007","975"
15,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
16,"60.8%","60.7%","53.8%","67.3%","41.2%","63%","51.6%","51.7%","59.1%","63.1%","1,288","1,281","1,137","1,422","871","1,331","1,091","1,093","1,249","1,331"
17,"32.5%","33.1%","33.1%","33.2%","33.2%","33.4%","34.1%","34.2%","40.1%","33.4%","408","416","416","416","416","418","427","428","502","417"
18,"82%","82.9%","83.3%","73.4%","71.7%","64.7%","73.9%","74.5%","81.9%","80.9%","1,309","1,401","1,412","1,243","1,194","1,090","1,254","1,302","1,487","1,289"
19,"35.2%","35.1%","35.1%","35.1%","34.4%","29.3%","31.7%","31.6%","34.5%","31.8%","618","618","618","618","607","518","567","567","619","559"
20,"74.5%","74.6%","74.6%","74.6%","54.3%","57%","37.3%","77.8%","73%","56.8%","1,083","1,083","1,083","1,083","789","827","541","1,130","1,073","826"
21,"41%","43.2%","43.4%","43.5%","0%","0%","0%","0%","0%","0%","479","525","529","532","0","0","0","0","0","0"
22,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
23,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
24,"0%","0%","0%","33%","35.9%","27.9%","28%","0%","0%","12%","0","0","0","147","160","119","113","0","0","37"
25,"26.6%","26.6%","26.6%","26.5%","26.3%","15.1%","32.6%","32.5%","30.2%","20.2%","296","296","296","296","296","172","387","387","359","227"
26,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
27,"68%","68.2%","68.2%","68.2%","68.2%","66.2%","61.1%","60.7%","66.7%","66.6%","673","674","674","674","674","653","615","615","674","656"
28,"93.9%","93.6%","62.4%","92.9%","62.2%","90.4%","93.8%","93.9%","93%","91.5%","512","513","343","511","344","506","549","552","547","472"
29,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
30,"1.2%","1.4%","17.8%","51.8%","56.6%","57.7%","46.8%","45.6%","45.3%","42.8%","6","7","152","511","620","634","744","728","727","563"
