NPA,2011,2013,2015,2016,2017,2018,2020,2021,2022,2023,2011 Raw,2013 Raw,2015 Raw,2016 Raw,2017 Raw,2018 Raw,2020 Raw,2021 Raw,2022 Raw,2023 Raw
2,"47%","46.9%","46.8%","46.8%","46.7%","47%","46.2%","44.7%","44.6%","44.6%","509","507","505","505","504","509","493","503","504","507"
3,"41.7%","37.8%","37.7%","37.9%","32.6%","29.7%","21.2%","20.2%","19%","16.4%","1,822","1,796","1,792","1,792","1,723","1,759","1,621","1,615","1,613","1,589"
4,"89%","89.1%","89.1%","89.2%","89.2%","89.5%","89%","89.3%","89.2%","89.2%","357","358","360","362","364","375","356","368","364","365"
5,"59.3%","59%","59.2%","58.6%","58.1%","57.5%","49.3%","53.9%","54.3%","54.3%","197","194","196","191","187","183","182","186","189","189"
6,"83.8%","83.7%","83.6%","83.6%","83.5%","83.4%","83%","83.2%","83.2%","83%","691","686","683","682","679","674","655","672","675","683"
7,"100%","100%","100%","100%","100%","100%","100%","54.7%","54.6%","49.1%","420","423","426","427","430","432","413","416","415","414"
8,"47.6%","42.7%","42.2%","42.6%","42.2%","40.5%","39.5%","39.4%","39.5%","39.1%","429","437","435","441","434","437","438","451","457","457"
9,"89.5%","89.5%","89.4%","89.5%","93.9%","89.5%","88.9%","88.8%","88.8%","79.9%","273","273","270","273","276","272","273","285","284","279"
10,"75.1%","75%","75%","75%","74.9%","75.1%","70.5%","70.9%","71%","70.9%","1,201","1,196","1,194","1,194","1,188","1,199","1,191","1,216","1,232","1,228"
11,"63.5%","63.6%","64%","64%","64%","64.8%","63.5%","63.3%","62.7%","61.9%","768","771","784","784","788","812","770","776","776","775"
12,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
13,"33.8%","33.7%","34.3%","34.4%","34.5%","34.5%","42.8%","42.7%","34.5%","42.6%","612","610","627","630","631","632","633","631","631","630"
14,"54.5%","54.4%","54.4%","54.4%","54.3%","54.3%","54.2%","54.4%","54.4%","54.3%","879","878","878","877","874","875","872","879","879","880"
15,"95.3%","95.3%","95.3%","95.3%","95.4%","95.4%","95.4%","95.4%","95.4%","95.5%","786","786","794","799","809","809","808","811","812","823"
16,"56.4%","56.3%","56.3%","56.3%","56.3%","56.3%","56.3%","56.3%","56.3%","56.3%","1,196","1,189","1,189","1,191","1,190","1,189","1,190","1,190","1,190","1,190"
17,"68.7%","68.7%","68.7%","68.6%","68.6%","68.6%","68.6%","68.6%","68.6%","68.6%","863","863","863","859","860","857","858","860","860","859"
18,"44%","41.8%","41.9%","41.9%","43.4%","44.1%","43%","41.7%","40.3%","38.1%","703","706","710","709","723","742","722","729","731","722"
19,"63.5%","63.6%","63.7%","63.7%","63.7%","63.8%","63.6%","63.6%","63.7%","63.6%","1,115","1,119","1,122","1,122","1,122","1,130","1,138","1,141","1,142","1,142"
20,"52.4%","52.3%","52.3%","52.3%","52.3%","52.3%","52.3%","52.4%","51.9%","51.7%","761","760","760","760","760","760","760","761","763","763"
21,"25%","28%","28.2%","28.3%","28.3%","28.7%","27.7%","22.3%","18.5%","13.4%","292","340","344","347","345","347","341","350","351","347"
22,"40.3%","51.4%","37.1%","36.4%","26.2%","25.4%","8.1%","5.5%","3.7%","3.2%","188","187","185","185","182","175","150","146","140","135"
23,"34.8%","34.7%","34.7%","34.7%","34.8%","34.5%","36.7%","36.7%","36.7%","36.7%","191","191","191","191","191","190","202","202","202","202"
24,"70.9%","70.8%","73.2%","73.5%","73.5%","77%","87.8%","87.6%","100%","63.5%","336","335","328","328","328","328","361","352","340","319"
25,"76.1%","76.1%","76.2%","76.3%","76.5%","75.7%","73.4%","72.3%","72.3%","72.4%","846","846","847","853","862","862","859","860","860","861"
26,"100%","100%","100%","100%","100%","100%","99.9%","99.9%","100%","100%","1,066","1,066","1,069","1,068","1,069","1,081","1,085","1,092","1,093","1,095"
27,"68.5%","68.4%","68.4%","68.4%","68.4%","68.4%","68.5%","69.2%","69.1%","69.2%","678","676","676","676","676","675","679","702","699","700"
28,"47%","47.3%","47.5%","47.5%","47.7%","48.4%","46.4%","43.7%","43.7%","43.2%","256","259","261","261","264","271","262","257","257","255"
29,"54.2%","54.2%","54.2%","54.2%","54.2%","54.2%","54.2%","54.4%","54.6%","54.6%","307","307","306","306","306","307","307","309","311","311"
30,"25.6%","25.6%","15.1%","13.1%","11.6%","11.8%","6.7%","6.3%","6.2%","5.4%","129","129","129","129","127","130","103","100","100","99"
31,"84%","84.1%","84.3%","84.3%","84.4%","84.6%","84.5%","84.5%","84.5%","84.5%","569","570","570","571","575","583","578","579","578","579"
32,"0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0","0","0","0","0","0","0","0","0","0"
33,"4.2%","5.9%","6.7%","6.7%","6.7%","6.7%","6.4%","5.9%","6.2%","5.9%","26","37","42","42","42","42","40","37","39","37"
34,"82.8%","83.2%","83.3%","83.1%","83.7%","85.1%","86.9%","89.8%","90%","90.9%","653","673","677","685","699","775","1,070","1,327","1,347","1,502"
35,"95.3%","95.2%","95.5%","90.4%","93.4%","92.7%","92%","92.7%","93%","89.2%","647","716","765","806","864","948","972","1,101","1,164","1,244"
36,"73.9%","74.4%","64.3%","64.4%","60.2%","60.3%","60.4%","60.4%","60.4%","60.3%","761","782","792","793","798","803","804","804","804","803"
37,"81.9%","81.7%","80.9%","80%","79.9%","80.3%","75.6%","56.5%","56.1%","54%","647","637","630","619","620","632","617","620","613","604"
38,"90.2%","90.3%","90.2%","90%","90.2%","90.2%","90.1%","86.2%","67.6%","59.3%","759","760","759","757","759","759","743","743","738","759"
39,"100%","100%","100%","99.9%","100%","100%","100%","99.9%","99.9%","99.7%","932","941","953","964","989","992","993","992","993","996"
40,"51%","51%","51%","51%","51%","51%","51.3%","51.7%","51.5%","51.4%","603","603","603","607","609","624","632","642","642","644"
41,"48.3%","48.3%","48.3%","48.3%","48.3%","48.3%","48.3%","48.3%","48.3%","47.6%","374","373","373","373","374","374","374","374","374","374"
42,"25.5%","25.6%","25.6%","25.6%","25.6%","25.6%","25.5%","25.5%","25.5%","25.5%","339","340","340","340","340","340","339","339","339","339"
43,"58.8%","59.4%","59.6%","59.7%","59.6%","59.6%","59.5%","59.8%","59.6%","59.9%","377","387","390","391","390","390","388","393","390","394"
44,"30.9%","32.1%","33%","34.7%","35.5%","36.7%","35.1%","35.5%","35.5%","34.5%","138","146","152","164","170","179","167","170","170","163"
45,"96.5%","95.3%","95.4%","94.2%","94.1%","82.7%","60.2%","57.6%","57.5%","57.5%","952","1,054","1,085","1,111","1,207","1,354","1,492","1,496","1,494","1,497"
46,"43.1%","43%","43%","43%","43%","43%","43%","43%","43%","43.2%","412","411","411","411","411","411","411","411","411","413"
47,"3.6%","3.3%","3.3%","3.1%","3.7%","3.8%","3.5%","3.3%","3.5%","3.5%","23","21","21","20","22","23","21","20","21","21"
48,"83.9%","83.7%","83.6%","82.6%","83.4%","83.3%","83.3%","83.2%","83.2%","83%","525","517","514","504","507","505","503","501","500","498"
49,"99.8%","99.8%","99.8%","99.6%","99.8%","99.8%","99.8%","99.6%","99.6%","99.6%","946","951","960","970","972","972","967","1,026","1,022","1,024"
