NPA,Bicycle Friendliness,Employment,Food and Nutrition Services,High Speed Internet Access,Home Ownership,Home Sales Price,Household Income,Housing Assistance – Development-Based,Housing Code Violations,Neighborhood Organizations,Nuisance Violations,Population - Youth,Proximity to a Grocery Store,Proximity to a Pharmacy,Proximity to Early Care and Education,Proximity to Financial Services,Proximity to Public Outdoor Recreation,Proximity to School-Age Care,Rental Costs,Single-Family Housing,Test Proficiency - Elementary School,Test Proficiency - High School,Test Proficiency - Middle School,Tree Canopy
2,2,95.6%,23.4%,78.7%,40.3%,"$488,364","$75,084",4.4%,1,4,10,27.1%,60.7%,34%,37.8%,24.5%,59.1%,79.4%,"$1,252",44.6%,35.8%,13.3%,43.1%,38.1%
3,2,97.4%,2.9%,92.3%,39.2%,"$667,092","$117,630",3.9%,0,14,2,10.6%,60.4%,96.7%,89.4%,100%,91.5%,79.7%,"$1,883",16.4%,91.3%,92.5%,87.5%,23.1%
4,2,94.3%,0.3%,92.9%,100%,"$1,493,043","$250,001",0%,0,2,2,37.7%,17.8%,2.1%,41.6%,15.2%,1.5%,39.9%,--,89.2%,94.3%,76.9%,80%,59.5%
5,2,82.8%,49.7%,50.3%,14.9%,"$255,031","$49,539",0%,3,6,9,23.4%,8%,47%,99.4%,19%,100%,99.4%,"$1,179",54.3%,15.4%,16.7%,25.9%,41%
6,2,100%,39.3%,52.2%,37.3%,"$445,698","$37,907",0%,2,4,36,18.8%,46.7%,93.4%,100%,69.9%,79.8%,97.3%,"$1,065",83%,40.4%,33.3%,23.8%,34.8%
7,2,96.6%,1.5%,93.2%,84.4%,"$2,660,173","$250,001",0%,0,1,2,32.6%,66.4%,44.6%,0%,75.6%,41.7%,41.7%,--,49.1%,78.6%,--,85.7%,56.2%
8,2,100%,7.1%,78%,43.9%,"$529,911","$85,730",14.1%,0,4,14,2.9%,16%,32.7%,15.1%,45.7%,100%,12.8%,"$1,425",39.1%,54.5%,20%,70.8%,65.9%
9,2,100%,10.1%,88.8%,84.7%,"$760,989","$195,227",0%,1,1,17,15.4%,80.8%,100%,100%,0%,100%,100%,"$1,421",79.9%,61.5%,--,58.3%,33.3%
10,2,95.8%,23.1%,75.1%,44.1%,"$478,229","$60,860",0%,2,5,34,13.8%,63.1%,84.7%,100%,0%,99.6%,100%,"$1,066",70.9%,26.8%,60%,28.3%,28.3%
11,2,99%,1.1%,92.3%,77.9%,"$1,024,397","$174,398",0%,0,4,4,19.8%,62.2%,46%,82.5%,49.4%,100%,83.1%,"$1,634",61.9%,90%,96.2%,83.6%,38.9%
12,1,96.2%,35.8%,61.6%,6.7%,"$126,655","$48,646",2.6%,4,1,3,30.4%,0%,100%,100%,7.4%,97.5%,100%,"$1,273",0%,18.3%,15%,19.5%,51%
13,2,96.9%,16.7%,79.7%,34.2%,"$481,946","$62,795",0%,2,4,11,19.3%,17.6%,23.2%,80.3%,33.4%,61.7%,68.6%,"$1,106",42.6%,29.3%,47.1%,26.5%,30.1%
14,2,100%,20.3%,80.6%,40%,"$357,567","$92,606",0%,0,9,6,13.4%,62.8%,60.4%,83.6%,58.9%,66.6%,76.4%,"$1,433",54.3%,30.3%,39.4%,26.6%,43.3%
15,2,99%,3.2%,99.3%,97.6%,"$581,844","$156,924",0%,0,5,8,15.6%,0%,0%,58.1%,0%,57.2%,--,"$1,635",95.5%,60%,73.7%,78.1%,78.6%
16,2,92.8%,28.5%,72.1%,50.2%,"$273,196","$59,710",0%,1,6,18,22.4%,31.5%,63.1%,99.2%,34.2%,70.3%,99.6%,"$1,155",56.3%,36.4%,30.2%,32.4%,39.9%
17,2,87.8%,35.9%,66.7%,46.9%,"$293,365","$52,798",7.3%,1,3,25,25.7%,75.3%,33.4%,100%,0%,94.7%,100%,"$1,136",68.6%,27.4%,31.8%,23.3%,33.3%
18,2,96.8%,7.5%,83.3%,46.5%,"$798,392","$126,537",7.4%,0,5,4,16.3%,31%,80.9%,23.8%,10.2%,91%,29.2%,"$1,611",38.1%,75.9%,86.5%,52.6%,43.4%
19,2,94.7%,4.3%,90.9%,89.1%,"$418,373","$126,210",0%,0,13,4,21%,33.8%,31.8%,32.2%,0%,88.6%,32.2%,"$1,609",63.6%,76.3%,68%,66.1%,73.2%
20,2,100%,5.3%,85.6%,76.2%,"$418,173","$79,826",0%,0,5,2,19.2%,47.3%,56.8%,21.3%,63.7%,44%,34%,"$1,861",51.7%,75%,84.4%,78.9%,51.1%
21,1,98.4%,34.7%,72.9%,21.7%,"$390,925","$48,313",3.9%,0,5,28,38.5%,1.7%,0%,100%,48.9%,95.8%,51.3%,"$1,135",13.4%,24.4%,29.2%,37.1%,18.8%
22,2,99.6%,6%,85%,17.1%,"$481,698","$90,869",0%,0,7,5,4.8%,0%,0%,53.2%,36.7%,100%,76%,"$1,789",3.2%,33.3%,--,--,9.6%
23,2,100%,48.1%,68.4%,23%,"$591,028","$34,258",51.5%,1,2,14,29.3%,0%,0%,93.5%,0%,96.5%,49.8%,"$1,267",36.7%,27.7%,42.9%,16.7%,73.3%
24,2,100%,3%,85.5%,90.4%,"$327,208","$191,250",0%,1,2,12,9.5%,0%,12%,95.2%,39.6%,98.8%,1.8%,"$1,778",63.5%,81.3%,40%,76.9%,23.6%
25,2,92.4%,2.1%,92.9%,83.7%,"$478,299","$136,136",0%,0,4,10,28.1%,30.2%,20.2%,1.7%,30.2%,47.6%,16.6%,"$2,636",72.4%,79.3%,84.3%,90.6%,66.4%
26,1,96%,11.1%,73.1%,84.2%,"$899,528","$73,059",0%,0,0,0,33.7%,12.8%,0%,2.4%,0%,1.5%,2.4%,"$1,954",100%,52.2%,57.9%,45.8%,72.3%
27,1,93.9%,24.1%,91.6%,70.4%,"$549,583","$63,769",8.5%,0,1,10,30.4%,66.6%,66.6%,55.7%,0%,8.9%,59.1%,"$1,396",69.2%,37.2%,35.4%,43.4%,39%
28,2,100%,2.6%,88.8%,78.5%,"$370,635","$89,125",0%,0,5,4,19.8%,65.3%,91.5%,83.4%,92.5%,36.6%,89.5%,"$1,785",43.2%,83.3%,87.5%,83.3%,32.6%
29,2,94.5%,4.3%,84.5%,81.1%,"$291,169","$118,971",0%,0,4,5,12.5%,0%,0%,60.2%,0%,0%,--,"$1,755",54.6%,71%,60%,70.6%,73.6%
30,2,93.8%,47.1%,75.1%,10.3%,"$475,891","$76,841",24.4%,0,3,8,17.7%,51.7%,42.8%,99.7%,95.7%,87.6%,2.4%,"$1,823",5.4%,11.3%,6.7%,14.3%,22.7%
31,2,100%,0.9%,96.2%,76.3%,"$772,069","$201,484",0%,0,5,7,28.9%,25%,10.6%,54.5%,31.8%,20.6%,20.6%,"$1,761",84.5%,90.2%,85.7%,88.5%,73.5%
32,1,92.1%,6.1%,100%,92.5%,"$234,593","$60,179",0%,0,0,3,0%,100%,100%,100%,100%,83.3%,75.8%,--,0%,--,--,50%,20%
33,2,100%,16.8%,81%,13.8%,"$276,500","$88,854",0%,1,1,6,7.9%,93.9%,94.1%,99.8%,93.9%,94.2%,99.8%,"$1,416",5.9%,39.4%,54.5%,39.4%,29.8%
34,2,90.4%,34.3%,76.7%,74.7%,"$321,646","$70,980",0%,2,7,12,31.7%,37.6%,33.9%,24%,0.2%,46.1%,22.9%,"$1,781",90.9%,43.2%,25%,25%,49.1%
35,--,97.3%,12.7%,86.2%,92.7%,"$372,714","$128,000",0%,0,10,3,19.2%,0%,0%,0%,0%,1.5%,--,$967,89.2%,32.8%,30.8%,26.8%,57.4%
36,2,98.7%,7.9%,82.5%,81.7%,"$435,040","$67,120",0%,0,4,9,19.2%,58.5%,38.2%,50.7%,34%,86%,50.7%,"$1,670",60.3%,66.7%,75%,36.7%,75.9%
37,2,93.2%,30%,85.4%,54.7%,"$348,955","$70,938",28.9%,1,6,36,11.4%,0%,8.7%,31.5%,25.6%,100%,41%,"$1,162",54%,33.3%,12.5%,23.3%,27.3%
38,2,97.1%,16.3%,92.8%,83.9%,"$573,136","$102,100",0%,0,5,6,22.2%,30.5%,20%,61.3%,0%,66.3%,70.9%,"$1,436",59.3%,45.5%,50%,39.1%,31.2%
39,2,94%,24.1%,80.3%,73.4%,"$1,772,045","$79,554",0%,1,8,21,29.2%,14.3%,0%,17.4%,0%,93.1%,17.4%,"$1,685",99.7%,33.7%,38.5%,32.2%,57.1%
40,2,91.5%,32%,59.2%,42.8%,"$367,974","$50,854",0%,1,3,20,21.2%,3.6%,78%,99.9%,0%,72.9%,100%,"$1,347",51.4%,36.8%,27.6%,25.3%,40.8%
41,2,100%,12.6%,82.6%,52.8%,"$254,669","$63,611",0.8%,1,1,6,28.8%,50.6%,49.6%,38.4%,62.5%,100%,26.1%,"$1,578",47.6%,44.1%,55.6%,58.3%,71.4%
42,1,95%,6.5%,89%,68.5%,"$247,895","$109,219",1%,0,4,1,11.9%,0%,2.1%,14.5%,0%,82.5%,82.7%,"$1,594",25.5%,72.2%,55.6%,71.2%,67.9%
43,2,100%,9%,85.1%,62.5%,"$338,218","$105,595",0%,0,1,7,21.4%,0%,60%,74.6%,0%,0%,74.6%,"$1,383",59.9%,73.2%,46.7%,62%,77.2%
44,1,95.9%,4.4%,76%,41.3%,"$764,958","$119,229",0%,0,1,1,24.8%,0%,0%,0%,0%,74.2%,74.2%,"$1,725",34.5%,77.4%,--,55.6%,63%
45,2,96.6%,8.5%,97.4%,62.5%,"$434,200","$132,637",0%,0,4,3,26.1%,29.7%,3.3%,40.3%,0%,29.1%,61.4%,"$1,886",57.5%,51.9%,62.5%,55.8%,39.4%
46,2,93.8%,30.2%,71.3%,38.7%,"$325,353","$49,688",9.4%,0,2,6,18%,0%,0%,64.6%,0%,61.8%,64.6%,"$1,407",43.2%,30.3%,31.8%,34.6%,23.5%
47,2,77.5%,4.5%,85.6%,0%,"$311,143","$130,721",0%,0,0,0,8.2%,99%,0%,89.7%,98.8%,0%,89.7%,"$1,817",3.5%,36.4%,--,57.1%,47.8%
48,1,90.6%,24.1%,84.4%,63.4%,"$581,879","$83,611",0%,0,3,7,31.7%,15.7%,0.3%,81.2%,0%,77.5%,84.2%,"$2,209",83%,32.8%,51.5%,33.7%,64.6%
49,1,99.2%,23.1%,84.8%,60.9%,"$832,500","$79,573",0%,0,3,4,29.8%,0%,0%,70%,0%,54.1%,46.8%,"$1,355",99.6%,35%,45.5%,39%,47.6%
50,2,100%,37.9%,62.1%,35.7%,"$293,935","$41,954",0%,1,2,16,35.4%,64.2%,71.5%,100%,60.5%,52.3%,100%,"$1,107",42.2%,29.8%,42.5%,27.5%,42.8%
51,2,97.8%,6.8%,95.2%,61.1%,"$335,791","$144,310",0%,0,3,7,14.7%,0%,0%,92.4%,72.1%,100%,92.4%,"$1,879",28.2%,53.8%,60%,64.3%,16.3%
52,2,93.3%,32.9%,52.2%,6.6%,"$264,568","$39,612",13.6%,1,3,32,30.3%,81%,29.8%,68.6%,73.3%,100%,68.6%,"$1,117",21.2%,25%,25.8%,19.8%,25.3%
53,2,93.8%,45%,78%,22.9%,"$520,548","$44,899",14.5%,1,4,18,32.2%,21.1%,41.5%,100%,25.8%,100%,100%,"$1,214",38.1%,20.8%,29.2%,17%,53.5%
54,2,91.8%,31.7%,76.3%,90%,"$301,079",--,0%,1,3,36,26.4%,2.3%,7.5%,44%,13.5%,59.3%,39.8%,--,100%,36.6%,21.2%,30.9%,65.6%
55,2,97.4%,7.3%,82.7%,81%,"$253,260","$88,077",0%,0,4,13,20.3%,6.1%,2.4%,33.6%,26.6%,0%,33.6%,"$2,163",74.8%,70%,57.1%,51.9%,60.7%
56,1,96.1%,8.2%,86%,63.1%,--,"$92,045",0%,0,3,3,19.6%,95.9%,85.7%,0%,87.6%,0%,--,"$1,449",28.7%,60.9%,44.4%,50%,54.8%
57,2,94%,39.4%,81.3%,41.4%,"$352,770","$50,466",0%,0,1,2,8.2%,99%,0%,100%,81.4%,94.5%,100%,"$1,146",27.4%,29.8%,25%,25.3%,18.3%
58,2,94.4%,41.1%,73.3%,44.7%,"$222,328","$65,068",32.3%,2,2,19,39.3%,81.8%,53.5%,100%,16.1%,90.1%,100%,"$1,080",52.4%,34.5%,15.4%,33.3%,41.9%
59,2,96.9%,33.9%,84.5%,30.7%,"$965,152","$55,575",0%,3,2,10,16.8%,18.7%,60.1%,95.2%,18.4%,78.4%,88.6%,"$1,342",28.9%,24.7%,38.5%,31.8%,38.2%
60,2,96.3%,22.1%,79.6%,0.9%,"$321,864","$27,206",0.5%,0,2,1,8.5%,0%,0%,88%,0%,61.7%,88%,$916,0.3%,29.3%,39.1%,22.6%,38.8%
61,2,96.9%,18.3%,77.8%,71.2%,"$259,980","$49,000",0%,1,1,14,27.6%,0%,0%,99.3%,0%,100%,99.3%,$652,63.8%,34.8%,46.7%,13.6%,23.5%
